file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
myco.03.12.g.R2.fq.gz	FASTQ	DNA	10962	2514428	78	229.4	230
myco.03.12.g.R1.fq.gz	FASTQ	DNA	10962	3018425	54	275.4	278
myco.04.01.a.R1.fq.gz	FASTQ	DNA	4402	1216809	56	276.4	278
myco.04.01.a.R2.fq.gz	FASTQ	DNA	4402	1012092	77	229.9	230
myco.03.12.h.R2.fq.gz	FASTQ	DNA	35380	8134636	78	229.9	230
myco.04.01.b.R1.fq.gz	FASTQ	DNA	21804	6024531	54	276.3	278
myco.04.01.b.R2.fq.gz	FASTQ	DNA	21804	5014168	79	230.0	230
myco.03.12.h.R1.fq.gz	FASTQ	DNA	35380	9773548	30	276.2	278
myco.04.01.c.R1.fq.gz	FASTQ	DNA	9852	2719222	28	276.0	278
myco.04.01.c.R2.fq.gz	FASTQ	DNA	9852	2263622	78	229.8	230
myco.04.01.e.R1.fq.gz	FASTQ	DNA	9609	2471270	54	257.2	278
myco.04.01.e.R2.fq.gz	FASTQ	DNA	9609	2146370	79	223.4	230
myco.04.01.d.R1.fq.gz	FASTQ	DNA	20102	5513726	32	274.3	278
myco.04.01.f.R1.fq.gz	FASTQ	DNA	3945	1090789	172	276.5	278
myco.04.01.f.R2.fq.gz	FASTQ	DNA	3945	907225	226	230.0	230
myco.04.01.h.R1.fq.gz	FASTQ	DNA	6	1654	275	275.7	276
myco.04.01.d.R2.fq.gz	FASTQ	DNA	20102	4607906	76	229.2	230
myco.04.01.h.R2.fq.gz	FASTQ	DNA	6	1380	230	230.0	230
myco.04.02.a.R1.fq.gz	FASTQ	DNA	8710	2407967	171	276.5	278
myco.04.02.a.R2.fq.gz	FASTQ	DNA	8710	2003008	77	230.0	230
myco.04.01.g.R1.fq.gz	FASTQ	DNA	19723	5452139	29	276.4	278
myco.04.01.g.R2.fq.gz	FASTQ	DNA	19723	4535741	77	230.0	230
myco.04.02.c.R1.fq.gz	FASTQ	DNA	11532	3188453	171	276.5	278
myco.04.02.c.R2.fq.gz	FASTQ	DNA	11532	2651811	78	230.0	230
myco.04.02.b.R1.fq.gz	FASTQ	DNA	23640	6533187	56	276.4	278
myco.04.02.d.R1.fq.gz	FASTQ	DNA	8400	2322517	130	276.5	278
myco.04.02.b.R2.fq.gz	FASTQ	DNA	23640	5435635	78	229.9	230
myco.04.02.e.R1.fq.gz	FASTQ	DNA	2999	826709	54	275.7	278
myco.04.02.e.R2.fq.gz	FASTQ	DNA	2999	688869	78	229.7	230
myco.04.02.d.R2.fq.gz	FASTQ	DNA	8400	1931779	79	230.0	230
myco.04.02.g.R1.fq.gz	FASTQ	DNA	7008	1936104	56	276.3	278
myco.04.02.f.R2.fq.gz	FASTQ	DNA	12243	2804743	77	229.1	230
myco.04.02.g.R2.fq.gz	FASTQ	DNA	7008	1611213	79	229.9	230
myco.04.02.f.R1.fq.gz	FASTQ	DNA	12243	3366517	55	275.0	278
myco.04.02.h.R1.fq.gz	FASTQ	DNA	7744	2139178	56	276.2	278
myco.04.02.h.R2.fq.gz	FASTQ	DNA	7744	1780568	77	229.9	230
myco.04.03.a.R2.fq.gz	FASTQ	DNA	13112	3015667	200	230.0	230
myco.04.03.a.R1.fq.gz	FASTQ	DNA	13112	3625815	171	276.5	278
myco.04.03.c.R1.fq.gz	FASTQ	DNA	13088	3612515	41	276.0	278
myco.04.03.c.R2.fq.gz	FASTQ	DNA	13088	3007627	77	229.8	230
myco.04.03.b.R1.fq.gz	FASTQ	DNA	23085	6376114	56	276.2	278
myco.04.03.b.R2.fq.gz	FASTQ	DNA	23085	5306550	77	229.9	230
myco.04.03.d.R1.fq.gz	FASTQ	DNA	9998	2755284	57	275.6	278
myco.04.03.e.R1.fq.gz	FASTQ	DNA	5700	1572934	54	276.0	278
myco.04.03.d.R2.fq.gz	FASTQ	DNA	9998	2295264	78	229.6	230
myco.04.03.e.R2.fq.gz	FASTQ	DNA	5700	1309532	77	229.7	230
myco.04.03.f.R1.fq.gz	FASTQ	DNA	12638	3166351	54	250.5	278
myco.04.03.f.R2.fq.gz	FASTQ	DNA	12638	2711021	78	214.5	230
myco.04.03.g.R1.fq.gz	FASTQ	DNA	19845	5486629	29	276.5	278
myco.04.03.g.R2.fq.gz	FASTQ	DNA	19845	4564091	78	230.0	230
myco.04.03.h.R2.fq.gz	FASTQ	DNA	20582	4399704	79	213.8	230
myco.04.03.h.R1.fq.gz	FASTQ	DNA	20582	5058082	54	245.8	278
myco.04.04.a.R1.fq.gz	FASTQ	DNA	37524	10374937	54	276.5	278
myco.04.04.a.R2.fq.gz	FASTQ	DNA	37524	8629665	76	230.0	230
myco.04.04.c.R1.fq.gz	FASTQ	DNA	7149	1975490	56	276.3	278
myco.04.04.c.R2.fq.gz	FASTQ	DNA	7149	1643467	77	229.9	230
myco.04.04.b.R2.fq.gz	FASTQ	DNA	37039	8516777	76	229.9	230
myco.04.04.b.R1.fq.gz	FASTQ	DNA	37039	10218791	32	275.9	278
myco.04.04.d.R1.fq.gz	FASTQ	DNA	15531	4291020	32	276.3	278
myco.04.04.d.R2.fq.gz	FASTQ	DNA	15531	3570566	76	229.9	230
myco.04.04.e.R1.fq.gz	FASTQ	DNA	12499	3453469	150	276.3	278
myco.04.04.e.R2.fq.gz	FASTQ	DNA	12499	2873876	150	229.9	230
myco.04.04.f.R1.fq.gz	FASTQ	DNA	8958	2476470	170	276.5	278
myco.04.04.g.R1.fq.gz	FASTQ	DNA	4484	1236919	57	275.9	278
myco.04.04.g.R2.fq.gz	FASTQ	DNA	4484	1029718	78	229.6	230
myco.04.04.f.R2.fq.gz	FASTQ	DNA	8958	2060231	178	230.0	230
myco.04.04.h.R2.fq.gz	FASTQ	DNA	6435	1479817	78	230.0	230
myco.04.05.a.R1.fq.gz	FASTQ	DNA	6356	1751707	54	275.6	278
myco.04.04.h.R1.fq.gz	FASTQ	DNA	6435	1778929	55	276.4	278
myco.04.05.a.R2.fq.gz	FASTQ	DNA	6356	1460047	79	229.7	230
myco.04.05.b.R1.fq.gz	FASTQ	DNA	11075	3061967	55	276.5	278
myco.04.05.b.R2.fq.gz	FASTQ	DNA	11075	2546987	78	230.0	230
myco.04.05.d.R1.fq.gz	FASTQ	DNA	2627	726015	55	276.4	278
myco.04.05.d.R2.fq.gz	FASTQ	DNA	2627	603906	80	229.9	230
myco.04.05.e.R1.fq.gz	FASTQ	DNA	2047	565782	128	276.4	278
myco.04.05.e.R2.fq.gz	FASTQ	DNA	2047	470732	178	230.0	230
myco.04.05.c.R1.fq.gz	FASTQ	DNA	20065	5542280	54	276.2	278
myco.04.05.c.R2.fq.gz	FASTQ	DNA	20065	4611648	76	229.8	230
myco.04.05.f.R1.fq.gz	FASTQ	DNA	7928	2190665	29	276.3	278
myco.04.05.f.R2.fq.gz	FASTQ	DNA	7928	1822680	77	229.9	230
myco.04.05.g.R1.fq.gz	FASTQ	DNA	9025	2493581	163	276.3	278
myco.04.05.g.R2.fq.gz	FASTQ	DNA	9025	2075006	163	229.9	230
myco.04.05.h.R1.fq.gz	FASTQ	DNA	7982	2206563	170	276.4	278
myco.04.05.h.R2.fq.gz	FASTQ	DNA	7982	1835452	80	229.9	230
myco.04.06.a.R1.fq.gz	FASTQ	DNA	10026	2580984	31	257.4	278
myco.04.06.a.R2.fq.gz	FASTQ	DNA	10026	2223768	77	221.8	230
myco.04.06.c.R1.fq.gz	FASTQ	DNA	15619	4318615	57	276.5	278
myco.04.06.b.R2.fq.gz	FASTQ	DNA	16086	3697879	74	229.9	230
myco.04.06.b.R1.fq.gz	FASTQ	DNA	16086	4440009	30	276.0	278
myco.04.06.c.R2.fq.gz	FASTQ	DNA	15619	3591761	78	230.0	230
myco.04.06.d.R1.fq.gz	FASTQ	DNA	12519	3459050	54	276.3	278
myco.04.06.d.R2.fq.gz	FASTQ	DNA	12519	2877775	77	229.9	230
myco.04.06.f.R1.fq.gz	FASTQ	DNA	1660	459006	208	276.5	278
myco.04.06.f.R2.fq.gz	FASTQ	DNA	1660	381769	208	230.0	230
myco.04.06.e.R1.fq.gz	FASTQ	DNA	14485	4004385	139	276.5	278
myco.04.06.e.R2.fq.gz	FASTQ	DNA	14485	3330719	79	229.9	230
myco.04.06.g.R1.fq.gz	FASTQ	DNA	6847	1889724	144	276.0	278
myco.04.06.g.R2.fq.gz	FASTQ	DNA	6847	1573069	156	229.7	230
myco.04.06.h.R2.fq.gz	FASTQ	DNA	13586	3122180	152	229.8	230
myco.04.06.h.R1.fq.gz	FASTQ	DNA	13586	3751836	152	276.2	278
myco.04.07.a.R1.fq.gz	FASTQ	DNA	17659	4879786	57	276.3	278
myco.04.07.a.R2.fq.gz	FASTQ	DNA	17659	4059928	76	229.9	230
myco.04.07.b.R1.fq.gz	FASTQ	DNA	15073	4166985	54	276.5	278
myco.04.07.b.R2.fq.gz	FASTQ	DNA	15073	3466079	77	230.0	230
myco.04.07.c.R1.fq.gz	FASTQ	DNA	15894	4392217	54	276.3	278
myco.04.07.d.R1.fq.gz	FASTQ	DNA	12165	3362044	56	276.4	278
myco.04.07.c.R2.fq.gz	FASTQ	DNA	15894	3654734	77	229.9	230
myco.04.07.e.R1.fq.gz	FASTQ	DNA	6991	1933095	170	276.5	278
myco.04.07.d.R2.fq.gz	FASTQ	DNA	12165	2797055	78	229.9	230
myco.04.07.e.R2.fq.gz	FASTQ	DNA	6991	1607858	227	230.0	230
myco.04.07.g.R1.fq.gz	FASTQ	DNA	13510	3733088	29	276.3	278
myco.04.07.g.R2.fq.gz	FASTQ	DNA	13510	3106157	78	229.9	230
myco.04.07.f.R1.fq.gz	FASTQ	DNA	22006	6075327	54	276.1	278
myco.04.07.f.R2.fq.gz	FASTQ	DNA	22006	5057201	77	229.8	230
myco.04.07.h.R1.fq.gz	FASTQ	DNA	10019	2764747	57	276.0	278
myco.04.07.h.R2.fq.gz	FASTQ	DNA	10019	2301430	78	229.7	230
myco.04.08.a.R1.fq.gz	FASTQ	DNA	13184	3640181	29	276.1	278
myco.04.08.a.R2.fq.gz	FASTQ	DNA	13184	3030204	78	229.8	230
myco.04.08.b.R1.fq.gz	FASTQ	DNA	14462	3993932	55	276.2	278
myco.04.08.c.R1.fq.gz	FASTQ	DNA	11688	3231085	54	276.4	278
myco.04.08.b.R2.fq.gz	FASTQ	DNA	14462	3324445	78	229.9	230
myco.04.08.c.R2.fq.gz	FASTQ	DNA	11688	2687666	80	230.0	230
myco.04.08.d.R1.fq.gz	FASTQ	DNA	14219	3930038	30	276.4	278
myco.04.08.d.R2.fq.gz	FASTQ	DNA	14219	3269384	79	229.9	230
myco.04.08.e.R1.fq.gz	FASTQ	DNA	14615	4035551	30	276.1	278
myco.04.08.e.R2.fq.gz	FASTQ	DNA	14615	3358520	78	229.8	230
myco.04.08.f.R1.fq.gz	FASTQ	DNA	18372	5053708	54	275.1	278
myco.04.08.g.R1.fq.gz	FASTQ	DNA	13627	3757941	54	275.8	278
myco.04.08.g.R2.fq.gz	FASTQ	DNA	13627	3130213	77	229.7	230
myco.04.08.f.R2.fq.gz	FASTQ	DNA	18372	4216693	77	229.5	230
myco.04.08.h.R1.fq.gz	FASTQ	DNA	9914	2682907	54	270.6	278
myco.04.08.h.R2.fq.gz	FASTQ	DNA	9914	2279155	77	229.9	230
myco.04.09.a.R1.fq.gz	FASTQ	DNA	9954	2751461	28	276.4	278
myco.04.09.a.R2.fq.gz	FASTQ	DNA	9954	2289024	79	230.0	230
myco.04.09.b.R1.fq.gz	FASTQ	DNA	16911	4670918	56	276.2	278
myco.04.09.d.R1.fq.gz	FASTQ	DNA	403	86065	169	213.6	278
myco.04.09.d.R2.fq.gz	FASTQ	DNA	403	79673	169	197.7	230
myco.04.09.b.R2.fq.gz	FASTQ	DNA	16911	3887091	76	229.9	230
myco.04.09.c.R1.fq.gz	FASTQ	DNA	23783	6183546	31	260.0	278
myco.04.09.e.R1.fq.gz	FASTQ	DNA	15432	4259539	54	276.0	278
myco.04.09.c.R2.fq.gz	FASTQ	DNA	23783	5267904	77	221.5	230
myco.04.09.e.R2.fq.gz	FASTQ	DNA	15432	3545875	76	229.8	230
myco.04.09.f.R1.fq.gz	FASTQ	DNA	16436	4537100	57	276.0	278
